Code,Year,Daily caloric supply (OWID based on UN FAO & historical sources),Deaths - Cause: All causes - Risk: High body-mass index - Sex: Both - Age: Age-standardized (Rate),"Indicator:Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%) - Sex:Both sexes","Indicator:Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%) - Sex:Both sexes_x"
TUV,2002,,188.14,39.1,74
TUV,2003,,190.89,39.9,74.6
TUV,2004,,193.07,40.8,75.2
TUV,2005,,194,41.7,75.8
TUV,2006,,192.25,42.6,76.4
TUV,2007,,190.11,43.5,77
TUV,2008,,187.53,44.4,77.6
TUV,2009,,185.31,45.2,78.2
TUV,2010,,184.13,46.1,78.7
TUV,2011,,183.69,47,79.3
TUV,2012,,183.64,47.8,79.9
TUV,2013,,183.7,48.6,80.4
TUV,2014,,183.93,49.4,80.9
TUV,2015,,183.91,50.2,81.4
TUV,2016,,184.78,51,81.9
UGA,1990,2330,26.32,1.1,11.9
UGA,1991,2272,27.01,1.2,12.3
UGA,1992,2220,27.32,1.3,12.6
UGA,1993,2243,28,1.3,12.9
UGA,1994,2229,28.72,1.4,13.3
UGA,1995,2236,29.31,1.5,13.6
UGA,1996,2130,30.17,1.6,14
UGA,1997,2155,31.26,1.6,14.3
UGA,1998,2266,32.89,1.7,14.7
UGA,1999,2249,34.44,1.8,15
UGA,2000,2267,36.13,1.9,15.4
UGA,2001,2280,37.43,2,15.7
UGA,2002,2330,38.6,2.1,16.1
UGA,2003,2382,39.76,2.2,16.5
UGA,2004,2351,41.12,2.3,16.9
UGA,2005,2327,42.13,2.4,17.3
UGA,2006,2276,42.89,2.5,17.7
UGA,2007,2212,43.5,2.6,18.1
UGA,2008,2177,43.85,2.8,18.5
UGA,2009,2194,44.75,2.9,19
UGA,2010,2200,45.82,3,19.4
UGA,2011,2178,47.2,3.2,19.9
UGA,2012,2160,49.29,3.4,20.4
UGA,2013,2130,51.95,3.5,20.9
UGA,2014,2127,54.13,3.7,21.4
UGA,2015,2073,55.63,3.9,21.9
UGA,2016,2033,57.17,4.1,22.4
UKR,1992,3367,137.93,18.4,49.6
UKR,1993,3242,146.47,18.7,50
UKR,1994,2980,153.21,18.9,50.3
UKR,1995,2881,162.67,19.2,50.6
UKR,1996,2803,160.2,19.4,51
UKR,1997,2854,155.87,19.7,51.3
UKR,1998,2829,148.07,19.9,51.6
UKR,1999,2782,152.73,20.1,51.9
UKR,2000,2896,156.98,20.4,52.2
UKR,2001,2986,155.45,20.6,52.6
UKR,2002,3048,159.3,20.9,52.9
UKR,2003,3052,160.97,21.1,53.3
UKR,2004,3194,164.78,21.4,53.7
UKR,2005,3210,168.61,21.7,54
UKR,2006,3244,162.67,22,54.4
UKR,2007,3253,167.44,22.3,54.8
UKR,2008,3297,169.24,22.6,55.2
UKR,2009,3174,156.14,23,55.6
UKR,2010,3140,152.22,23.3,56
UKR,2011,3177,146.25,23.7,56.4
UKR,2012,3161,145.81,24.2,56.8
UKR,2013,3138,144.8,24.6,57.2
UKR,2014,3145,136.22,25.1,57.6
UKR,2015,3094,160.29,25.6,58
UKR,2016,3091,155.05,26.1,58.4
UKR,1990,,123.16,17.8,48.9
UKR,1991,,130.32,18.1,49.3
ARE,1990,3077,224.55,16.3,52.9
ARE,1991,3073,228.47,16.6,53.3
ARE,1992,3197,232.39,16.9,53.8
ARE,1993,3232,236.96,17.2,54.2
ARE,1994,3316,249.28,17.4,54.7
ARE,1995,3261,251.24,17.7,55.1
ARE,1996,3254,253.75,18,55.6
ARE,1997,3259,254.11,18.4,56.1
ARE,1998,3310,252.59,18.7,56.6
ARE,1999,3375,252.83,19.2,57.2
ARE,2000,3295,259.65,19.7,57.7
ARE,2001,3320,260.42,20.3,58.4
ARE,2002,3355,262.62,21,59
ARE,2003,3338,277.98,21.6,59.6
ARE,2004,3285,301.41,22,60.3
ARE,2005,3205,305.96,21.9,60.9
ARE,2006,3202,304.42,21.7,61.5
ARE,2007,3186,291.94,21.5,62.2
ARE,2008,3149,286.92,21.5,62.8
ARE,2009,3170,285.18,21.8,63.5
ARE,2010,3161,280.45,22.5,64.1
ARE,2011,3210,275.35,23.4,64.8
ARE,2012,3230,270.5,24.5,65.4
ARE,2013,3280,254.79,25.8,66
ARE,2014,3398,213.49,27.2,66.7
ARE,2015,3411,211.36,28.6,67.2
ARE,2016,3372,208.41,29.9,67.8
GBR,1990,3241,70.72,14.5,48.7
GBR,1991,3208,69.71,14.9,49.3
GBR,1992,3271,68.59,15.4,49.9
GBR,1993,3218,68.14,15.9,50.5
GBR,1994,3235,65.89,16.4,51.1
GBR,1995,3185,65.11,16.9,51.7
GBR,1996,3268,63.68,17.5,52.3
GBR,1997,3328,62.14,18,53
GBR,1998,3352,61.28,18.6,53.6
GBR,1999,3400,60.33,19.2,54.2
GBR,2000,3362,58.04,19.8,54.8
GBR,2001,3400,56.27,20.3,55.4
GBR,2002,3416,55.47,20.9,56
GBR,2003,3400,54.19,21.5,56.6
GBR,2004,3445,51.76,22.1,57.2
GBR,2005,3438,49.97,22.7,57.8
GBR,2006,3438,48.48,23.2,58.4
GBR,2007,3417,47.12,23.8,58.9
GBR,2008,3422,46.07,24.4,59.5
GBR,2009,3412,44.4,25,60.1
GBR,2010,3404,43.43,25.7,60.6
GBR,2011,3417,42.54,26.3,61.1
GBR,2012,3403,42.28,26.9,61.7
GBR,2013,3424,42.31,27.5,62.2
GBR,2014,3376,41.85,28.2,62.7
GBR,2015,3393,42.05,28.9,63.2
GBR,2016,3374,41.86,29.5,63.7
USA,1990,3493,72.78,18.7,50.9
USA,1991,3522,72.99,19.4,51.7
USA,1992,3559,73.07,20.1,52.4
USA,1993,3605,74.8,20.8,53.2
USA,1994,3665,75.47,21.5,54
USA,1995,3580,76.25,22.3,54.8
USA,1996,3587,76.09,23,55.6
USA,1997,3648,75.76,23.8,56.3
USA,1998,3658,75.88,24.6,57.1
USA,1999,3673,76.83,25.4,57.9
USA,2000,3755,76.89,26.1,58.6
USA,2001,3707,77,26.9,59.3
USA,2002,3783,77.05,27.7,60
USA,2003,3777,76.38,28.4,60.7
USA,2004,3809,74.55,29.2,61.3
USA,2005,3828,74.22,29.9,61.9
USA,2006,3783,73.03,30.6,62.5
USA,2007,3757,71.57,31.3,63.1
USA,2008,3700,70.93,32,63.7
USA,2009,3645,69.9,32.7,64.2
USA,2010,3650,68.69,33.4,64.8
USA,2011,3649,68.5,34,65.3
USA,2012,3687,68.03,34.7,65.8
USA,2013,3682,67.86,35.4,66.4
USA,2014,3717,67.97,36,66.9
USA,2015,3735,68.31,36.7,67.4
USA,2016,3760,68.8,37.3,67.9
URY,1990,2527,62.91,17,48.5
URY,1991,2699,60.92,17.4,49
URY,1992,2762,61.98,17.7,49.6
URY,1993,2746,63.38,18.1,50.2
URY,1994,2783,62.69,18.5,50.8
URY,1995,2678,63.31,18.9,51.3
URY,1996,2819,63.21,19.3,51.9
URY,1997,2810,62.98,19.7,52.5
URY,1998,2821,65.08,20.1,53
URY,1999,2825,65.74,20.5,53.6
URY,2000,2811,64.61,21,54.2
URY,2001,2869,63.93,21.4,54.7
URY,2002,2838,64.45,21.9,55.3
URY,2003,2835,65.09,22.4,55.9
URY,2004,2831,64.86,22.9,56.4
URY,2005,2809,63.54,23.4,57
URY,2006,2823,61.41,23.9,57.6
URY,2007,2890,62.22,24.4,58.1
URY,2008,2958,59.22,24.9,58.7
URY,2009,2977,57.28,25.4,59.2
URY,2010,2984,56.73,25.9,59.7
URY,2011,3012,57.41,26.4,60.3
URY,2012,3016,56.93,26.8,60.8
URY,2013,3050,56.2,27.3,61.3
URY,2014,3157,55.58,27.8,61.9
URY,2015,3118,56.03,28.4,62.4
URY,2016,3140,56.03,28.9,62.9
UZB,1992,2718,117.76,6.6,35
UZB,1993,2707,132.13,6.8,35.4
UZB,1994,2697,145.07,7,35.8
UZB,1995,2655,153.8,7.2,36.3
UZB,1996,2594,161.78,7.4,36.7
UZB,1997,2541,164.26,7.6,37.1
UZB,1998,2499,168.92,7.9,37.6
UZB,1999,2432,172.12,8.1,38
UZB,2000,2368,182.74,8.4,38.5
UZB,2001,2286,189.44,8.6,39
UZB,2002,2289,198.62,8.9,39.5
UZB,2003,2351,207.61,9.3,40.1
UZB,2004,2385,216.66,9.6,40.6
UZB,2005,2471,229.61,9.9,41.2
UZB,2006,2556,225.24,10.3,41.8
UZB,2007,2581,224.08,10.7,42.3
UZB,2008,2597,227.1,11.1,42.9
UZB,2009,2605,226.8,11.5,43.6
UZB,2010,2648,230.42,11.9,44.2
UZB,2011,2694,236.6,12.4,44.8
UZB,2012,2730,241.15,12.9,45.5
UZB,2013,2760,241.39,13.5,46.1
UZB,2014,2964,243.28,14.1,46.8
UZB,2015,2985,244.68,14.7,47.5
UZB,2016,3009,241.79,15.3,48.2
UZB,1990,,101.62,6.2,34.1
UZB,1991,,108.02,6.4,34.6
VUT,1990,2567,119.39,9.4,37.6
VUT,1991,2561,125.42,9.8,38.4
VUT,1992,2550,131.15,10.2,39.2
VUT,1993,2519,135.57,10.7,40
VUT,1994,2530,141.69,11.1,40.7
VUT,1995,2541,142.18,11.5,41.5
VUT,1996,2631,146.15,11.9,42.3
VUT,1997,2676,148.88,12.4,43.1
VUT,1998,2718,151.49,12.8,43.8
VUT,1999,2717,155.01,13.3,44.6
VUT,2000,2698,152.25,13.7,45.3
VUT,2001,2673,155.93,14.2,46.1
VUT,2002,2698,151.01,14.7,46.8
VUT,2003,2753,148.98,15.3,47.6
VUT,2004,2745,151.79,15.8,48.4
VUT,2005,2780,159.15,16.3,49.1
VUT,2006,2800,162.59,16.9,49.9
VUT,2007,2859,167.23,17.5,50.6
VUT,2008,2864,170.46,18.1,51.3
VUT,2009,2864,171.63,18.7,52.1
VUT,2010,2856,172.75,19.4,52.8
VUT,2011,2841,176.62,20,53.5
VUT,2012,2818,177.73,20.7,54.3
VUT,2013,2836,178.96,21.4,55
VUT,2014,2733,179.74,22.1,55.7
VUT,2015,2699,180.19,22.8,56.4
VUT,2016,2621,180.55,23.5,57.1
VEN,1990,2362,84.85,13.7,50.1
VEN,1991,2423,86.99,14.1,50.7
VEN,1992,2522,88.2,14.5,51.4
VEN,1993,2401,88.16,15,52
VEN,1994,2371,90.89,15.4,52.6
VEN,1995,2434,89.78,15.9,53.2
VEN,1996,2380,86.89,16.3,53.9
VEN,1997,2283,83.58,16.8,54.5
VEN,1998,2354,84.4,17.2,55
VEN,1999,2341,84.42,17.7,55.6
VEN,2000,2454,82.98,18.1,56.2
VEN,2001,2509,82.88,18.6,56.8
VEN,2002,2218,84.2,19,57.3
VEN,2003,2415,84.94,19.4,57.8
VEN,2004,2492,79.44,19.9,58.3
VEN,2005,2490,78.53,20.3,58.8
VEN,2006,2514,80.83,20.7,59.2
VEN,2007,2607,83.1,21.1,59.7
VEN,2008,2808,86.6,21.6,60.1
VEN,2009,2858,87.01,22,60.6
VEN,2010,2805,82.81,22.4,61
VEN,2011,2803,83.15,22.9,61.4
VEN,2012,2691,84.66,23.3,61.8
VEN,2013,2631,83.09,23.8,62.2
VEN,2014,2610,83.97,24.3,62.6
VEN,2015,2435,84.27,24.7,63
VEN,2016,2322,86.44,25.2,63.4
VNM,1990,1905,16.24,0.3,7.3
VNM,1991,1856,16.21,0.3,7.6
VNM,1992,1923,16.24,0.3,7.8
VNM,1993,2026,16.32,0.3,8
VNM,1994,2055,16.45,0.4,8.3
VNM,1995,2027,16.6,0.4,8.6
VNM,1996,2018,16.78,0.4,8.8
VNM,1997,1986,17.06,0.4,9.1
VNM,1998,2113,17.41,0.5,9.5
VNM,1999,2200,17.86,0.5,9.8
VNM,2000,2239,18.39,0.6,10.1
VNM,2001,2299,19.23,0.6,10.5
VNM,2002,2360,20.27,0.7,10.9
VNM,2003,2416,21.5,0.7,11.3
VNM,2004,2478,22.86,0.8,11.7
VNM,2005,2468,24.25,0.8,12.2
VNM,2006,2483,25.76,0.9,12.7
VNM,2007,2548,27.63,1,13.1
VNM,2008,2615,29.58,1.1,13.6
VNM,2009,2638,31.47,1.2,14.2
VNM,2010,2678,33.07,1.3,14.7
VNM,2011,2716,34.53,1.4,15.3
VNM,2012,2713,35.93,1.5,15.9
VNM,2013,2745,37.29,1.6,16.4
VNM,2014,2853,38.58,1.8,17.1
VNM,2015,2900,39.6,1.9,17.7
VNM,2016,2952,40.44,2.1,18.3
OWID_WRL,1990,2618.896487,59.65,6.3,26.7
OWID_WRL,1991,2598.276098,59.8,6.4,27.1
OWID_WRL,1992,2607.781652,60.38,6.6,27.5
OWID_WRL,1993,2613.738815,61.9,6.8,27.9
OWID_WRL,1994,2637.255287,62.68,7,28.3
OWID_WRL,1995,2661.281541,62.53,7.2,28.6
OWID_WRL,1996,2671.564684,62.09,7.4,29.1
OWID_WRL,1997,2684.481043,61.89,7.6,29.5
OWID_WRL,1998,2699.170727,61.77,7.8,29.9
OWID_WRL,1999,2712.851724,62.4,8.1,30.3
OWID_WRL,2000,2726.73569,62.55,8.3,30.8
OWID_WRL,2001,2723.956635,62.73,8.5,31.2
OWID_WRL,2002,2726.842073,63.45,8.8,31.7
OWID_WRL,2003,2733.401772,63.78,9,32.1
OWID_WRL,2004,2745.217299,63.1,9.3,32.6
OWID_WRL,2005,2759.460718,63.25,9.5,33.1
OWID_WRL,2006,2777.271482,62.32,9.8,33.6
OWID_WRL,2007,2805.263598,61.93,10.1,34.1
OWID_WRL,2008,2823.512699,62.1,10.4,34.6
OWID_WRL,2009,2823.224175,61.66,10.7,35.2
OWID_WRL,2010,2847.677449,61.62,11,35.7
OWID_WRL,2011,2867.025827,61.3,11.4,36.2
OWID_WRL,2012,2872.407876,61.31,11.7,36.7
OWID_WRL,2013,2882.104179,61.31,12.1,37.3
OWID_WRL,2014,2895.239696,61.36,12.4,37.8
OWID_WRL,2015,2901.059987,62,12.8,38.4
OWID_WRL,2016,2905.327844,62.08,13.2,38.9
YEM,1990,2048,64.31,4.7,28.7
YEM,1991,2029,63.94,5,29.3
YEM,1992,2108,63.82,5.2,29.9
YEM,1993,2092,63.85,5.5,30.5
YEM,1994,2051,64,5.8,31.1
YEM,1995,2043,64.03,6.1,31.8
YEM,1996,2034,63.98,6.3,32.5
YEM,1997,2051,64.06,6.6,33.3
YEM,1998,2067,64.01,6.8,34.1
YEM,1999,2083,64.78,7.1,34.8
YEM,2000,2091,65.25,7.4,35.6
YEM,2001,2068,65.74,7.7,36.4
YEM,2002,2082,67.05,8,37.2
YEM,2003,2067,68.5,8.3,38
YEM,2004,2074,70.12,8.6,38.7
YEM,2005,2093,71.48,8.9,39.5
YEM,2006,2117,73.19,9.2,40.3
YEM,2007,2156,74.99,9.6,41.2
YEM,2008,2134,77.46,10,42
YEM,2009,2160,78.96,10.4,42.8
YEM,2010,2197,79.58,10.8,43.7
YEM,2011,2206,81.73,11.3,44.5
YEM,2012,2231,83.77,11.8,45.4
YEM,2013,2223,85.89,12.3,46.2
YEM,2014,2156,87.02,12.9,47.1
YEM,2015,2170,88.32,13.5,48
YEM,2016,2013,88.6,14.1,48.8
ZMB,1990,2080,52.43,2.6,17.6
ZMB,1991,2006,53.95,2.7,17.9
ZMB,1992,1983,55.14,2.7,18.2
ZMB,1993,1981,56.15,2.8,18.5
ZMB,1994,2022,57.53,2.9,18.7
ZMB,1995,2050,58.97,2.9,19
ZMB,1996,2034,60.24,3,19.2
ZMB,1997,1970,61.35,3.1,19.5
ZMB,1998,1930,62.5,3.1,19.7
ZMB,1999,1958,63.31,3.2,20
ZMB,2000,1873,63.85,3.3,20.2
ZMB,2001,1850,63.73,3.4,20.5
ZMB,2002,1849,63.77,3.5,20.8
ZMB,2003,1900,63.97,3.6,21.2
ZMB,2004,1866,63.96,3.8,21.6
ZMB,2005,1873,63.97,3.9,22
ZMB,2006,1838,64.91,4.1,22.5
ZMB,2007,1781,65.02,4.3,23
ZMB,2008,1801,65.54,4.5,23.5
ZMB,2009,1878,66.31,4.7,24
ZMB,2010,1904,68.46,4.9,24.5
ZMB,2011,1907,70.96,5.2,25
ZMB,2012,1923,73.32,5.4,25.6
ZMB,2013,1930,76.1,5.7,26.1
ZMB,2014,2013,79.14,6,26.7
ZMB,2015,2029,82.38,6.2,27.3
ZMB,2016,1985,85.93,6.5,27.8
ZWE,1990,2013,62.46,5.8,24.2
ZWE,1991,1963,61.45,6,24.8
ZWE,1992,1955,61.92,6.3,25.5
ZWE,1993,1943,61.1,6.6,26.1
ZWE,1994,1931,60.22,6.8,26.7
ZWE,1995,1944,59.81,7.1,27.4
ZWE,1996,1982,58.53,7.3,28
ZWE,1997,2009,59.05,7.6,28.6
ZWE,1998,2013,63.27,7.8,29.2
ZWE,1999,1996,68.06,8.1,29.8
ZWE,2000,1979,73.89,8.3,30.4
ZWE,2001,2028,75.93,8.5,31
ZWE,2002,2021,79.6,8.8,31.6
ZWE,2003,2010,82.56,9,32.2
ZWE,2004,2044,86.15,9.2,32.7
ZWE,2005,2025,86.05,9.4,33.3
ZWE,2006,2115,87.58,9.7,33.8
ZWE,2007,2109,88.19,9.9,34.3
ZWE,2008,2094,91.19,10.1,34.8
ZWE,2009,2147,92.4,10.3,35.3
ZWE,2010,2168,91.75,10.6,35.7
ZWE,2011,2200,89.92,10.8,36.2
ZWE,2012,2197,89.72,11.1,36.6
ZWE,2013,2110,90.27,11.3,37
ZWE,2014,1986,92.27,11.6,37.3
ZWE,2015,1912,93.58,11.9,37.7
ZWE,2016,1885,94.73,12.3,38.2
